zip,City,mean_ret,low_ret,high_ret,order,seasonal_order,sharpe_ratio
60657,Chicago,0.9812402041138603,0.7513858511265465,1.2776978842419984,"(2, 0, 1)","(0, 0, 1, 12)",-0.29857609155851494
75070,McKinney,1.0164535548785307,0.7659644096611344,1.3442833409278854,"(1, 0, 1)","(0, 0, 0, 12)",-0.21083667234631118
77494,Katy,1.078049856465085,0.8479426973388511,1.3673186910409767,"(1, 0, 3)","(0, 0, 0, 12)",-0.1161673588464039
60614,Chicago,0.9893745920528727,0.7734532400857327,1.2623754496002835,"(1, 0, 3)","(0, 0, 0, 12)",-0.30477200452146813
79936,El Paso,1.0080931336145698,0.8685182230549228,1.1690537291494207,"(0, 0, 2)","(0, 0, 1, 12)",-0.433530340492115
77084,Houston,1.0230884907830908,0.7970151748272479,1.3098722104472194,"(1, 0, 1)","(0, 0, 1, 12)",-0.22481100016346725
10467,New York,1.0177002877116277,0.679157516002681,1.5149782187117928,"(0, 0, 2)","(0, 0, 0, 12)",-0.14438994607203598
60640,Chicago,0.9934652272873379,0.6547429486799974,1.4967817399946626,"(1, 0, 3)","(0, 0, 0, 12)",-0.17210509552426806
77449,Katy,1.0536394077342992,0.7984316129078602,1.385854473995089,"(1, 0, 1)","(0, 0, 0, 12)",-0.14426572709570493
94109,San Francisco,1.0447443528967637,0.6719795164629109,1.6115023115887828,"(1, 0, 1)","(0, 0, 0, 12)",-0.09966766265886981
11226,New York,1.0499304851099038,0.5521621203438454,1.9639604998314355,"(0, 0, 3)","(0, 0, 1, 12)",-0.06265335764437406
32162,The Villages,1.0457371403580713,0.8276719401140299,1.3182708617739858,"(1, 0, 3)","(0, 0, 0, 12)",-0.18884520420497775
11375,New York,1.0837026413424327,0.8412146572205461,1.3924426526361016,"(0, 0, 2)","(1, 0, 0, 12)",-0.09919988283256884
11235,New York,1.1321842509225055,0.8189229060368498,1.55861249365471,"(1, 0, 3)","(0, 0, 0, 12)",-0.008382087679710805
37013,Nashville,1.1571351620411507,0.8829308622190161,1.5117575871140223,"(3, 0, 1)","(0, 0, 0, 12)",0.029818656550568784
90250,Hawthorne,1.0508896065301445,0.7209906747053499,1.522395712760252,"(1, 0, 1)","(0, 0, 1, 12)",-0.10917673737602458
60647,Chicago,0.9789329627622723,0.6543460558626254,1.4548662122980311,"(1, 0, 1)","(0, 0, 1, 12)",-0.19918477986791513
37211,Nashville,1.2063022738820686,0.9211845642329411,1.5748411057013378,"(1, 0, 3)","(0, 0, 0, 12)",0.10390453651363747
78660,Pflugerville,1.0266800048958316,0.8357328110533309,1.2589620406323558,"(1, 0, 1)","(0, 0, 0, 12)",-0.2639335404999447
60618,Chicago,0.9556769341656762,0.695890532014608,1.3070042947591,"(2, 0, 1)","(0, 0, 1, 12)",-0.2989745459429322
10128,New York,1.014945165231892,0.40522065168094157,2.4589366547827853,"(3, 0, 0)","(0, 0, 1, 12)",-0.060105305934880164
77573,League City,1.0324929650389914,0.6831094314664293,1.549312464994879,"(1, 0, 2)","(0, 0, 1, 12)",-0.12224781577057163
77584,Pearland,1.0498522685249234,0.8168131508679328,1.3458199680375622,"(1, 0, 1)","(0, 0, 0, 12)",-0.1673553581982966
28269,Charlotte,1.0636864909395378,0.8336268879031713,1.3538050970498003,"(1, 0, 1)","(0, 0, 0, 12)",-0.1436006000418478
79912,El Paso,1.0214867792712525,0.8692903018876058,1.1990527700031326,"(1, 0, 3)","(0, 0, 0, 12)",-0.3544903557353346
78572,Mission,1.0202438048975069,0.7562049553485546,1.3715112827853095,"(0, 0, 2)","(0, 0, 1, 12)",-0.19200288333833834
94565,Pittsburg,1.1055252185333169,0.6210593141544326,1.9405027454498798,"(1, 0, 1)","(0, 0, 1, 12)",-0.024903815191310713
30349,Riverdale,1.0364526772442388,0.5315179414346172,1.9842042126583945,"(1, 0, 1)","(0, 0, 0, 12)",-0.0701677428062833
20002,Washington,1.0939544725282908,0.8931230879599005,1.337691343161405,"(1, 0, 3)","(0, 0, 1, 12)",-0.09993948252841058
90046,Los Angeles,1.0506150208647467,0.7763741147942351,1.416451370668637,"(0, 0, 2)","(1, 0, 0, 12)",-0.13712309292577532
78130,New Braunfels,1.1297052350267636,0.9603731108877862,1.327478743351866,"(0, 0, 2)","(2, 0, 0, 12)",-0.023642129423806148
78613,Cedar Park,0.9756943543259894,0.7626224411104308,1.2451137304494548,"(1, 0, 1)","(0, 0, 0, 12)",-0.33718751648049644
20009,Washington,0.946388242168673,0.7596851311127446,1.1766099726982637,"(2, 0, 1)","(1, 0, 1, 12)",-0.4605054258769384
75052,Grand Prairie,1.2454431942233524,1.019737302894272,1.518526023838244,"(1, 0, 3)","(2, 0, 0, 12)",0.2146375726360711
37042,Clarksville,1.0147631463724522,0.8456828761322465,1.2160111930537523,"(1, 0, 1)","(0, 0, 0, 12)",-0.3338152711542117
77429,Cypress,1.0006620607532446,0.8156078753466767,1.225624240018947,"(0, 0, 2)","(0, 0, 0, 12)",-0.3358947227838714
63376,Saint Peters,1.075736838563746,0.8080135646795313,1.427059725442359,"(1, 0, 1)","(1, 0, 0, 12)",-0.10120013548059692
60613,Chicago,0.9774276934484586,0.7311824263324187,1.3021127974742341,"(2, 0, 1)","(0, 0, 0, 12)",-0.2819200179022327
77479,Sugar Land,1.0091496800269322,0.7970779098408638,1.2746120023679093,"(1, 0, 1)","(0, 0, 1, 12)",-0.2706292930644236
30044,Lawrenceville,1.111299010077055,0.7211203263044335,1.698726115942301,"(1, 0, 1)","(0, 0, 0, 12)",-0.027705834101765834
73099,Yukon,1.0271842839138459,0.8789249482341395,1.1992720206778347,"(2, 0, 1)","(1, 0, 0, 12)",-0.3471238527000631
77036,Houston,1.0552921105211834,0.6412476301195174,1.7191352962866184,"(2, 0, 2)","(0, 0, 1, 12)",-0.0770880732646055
77433,Cypress,1.0296568694406572,0.8430334299801342,1.2554976652710745,"(3, 0, 0)","(2, 0, 1, 12)",-0.26360473262448353
10463,New York,1.01315585542751,0.5503169602979578,1.8377659650635667,"(0, 0, 2)","(0, 0, 0, 12)",-0.0972687368669616
11230,New York,1.086984271061383,0.7744201731317019,1.518656531675665,"(0, 0, 2)","(1, 0, 0, 12)",-0.06906424585445485
60629,Chicago,1.012334474605294,0.7527406980540571,1.3566413288095776,"(0, 0, 2)","(1, 0, 0, 12)",-0.20872625872024106
11209,New York,0.9818077954642463,0.6838720185588955,1.4021193162412138,"(0, 0, 2)","(1, 0, 1, 12)",-0.21799817269440702
60625,Chicago,0.9460226569633657,0.7042042343831206,1.2663032717255402,"(1, 0, 1)","(0, 0, 1, 12)",-0.3422203635996246
30043,Lawrenceville,1.0567762044724964,0.7554432016301463,1.4712211169922913,"(1, 0, 1)","(0, 0, 0, 12)",-0.11401328216155117
75034,Frisco,1.0918583374802722,0.8569170988059355,1.387750488239438,"(1, 0, 3)","(0, 0, 1, 12)",-0.08764719278692566
11212,New York,1.0892380974640847,0.6571116787932434,1.7863348212705106,"(1, 0, 3)","(0, 0, 1, 12)",-0.04352221858452764
75287,Dallas,1.024941759649928,0.8056811638769041,1.300815813312314,"(0, 0, 2)","(1, 0, 1, 12)",-0.22911471532262084
28277,Charlotte,1.020499071096387,0.8570346195573619,1.2136401286462415,"(0, 0, 2)","(0, 0, 1, 12)",-0.33057628051371196
85032,Phoenix,1.035083882238879,0.7317595220225924,1.456804656027382,"(1, 0, 1)","(0, 0, 0, 12)",-0.1424745947776075
7030,Hoboken,1.037547794342977,0.6987796928960619,1.5307179175511834,"(2, 0, 3)","(1, 0, 1, 12)",-0.12120683552016406
11214,New York,1.026578890951099,0.6959385154583168,1.5049914502679602,"(3, 0, 1)","(0, 0, 0, 12)",-0.13819306270348602
21234,Parkville,1.0027728730051078,0.8026609727514854,1.2502736668950665,"(0, 0, 3)","(1, 0, 0, 12)",-0.3029662086685137
33160,Sunny Isles Beach,0.9591975175675632,0.4714647475703462,1.9122937890662781,"(2, 0, 1)","(1, 0, 1, 12)",-0.12436373169441717
78521,Brownsville,0.9735990364630637,0.6078497061973342,1.5456204777829823,"(0, 0, 2)","(0, 0, 1, 12)",-0.17572029586718013
23464,Virginia Beach,0.997998594308569,0.8523752791220476,1.1673189972035876,"(1, 0, 2)","(0, 0, 0, 12)",-0.44574884823316985
77077,Houston,1.048495078965853,0.7715844496812769,1.4192640601902704,"(3, 0, 1)","(0, 0, 0, 12)",-0.13878669866601653
