zip,City,mean_ret,low_ret,high_ret,order,seasonal_order
60657,Chicago,1.0257004845739244,0.8038176863950751,1.305621996471964,"(0, 1, 3)","(0, 0, 0, 12)"
75070,McKinney,1.0164535548785307,0.7659644096611344,1.3442833409278854,"(1, 0, 1)","(0, 0, 0, 12)"
77494,Katy,1.1993947242287288,0.7587220994966816,1.8781312591849524,"(0, 1, 1)","(0, 0, 0, 12)"
60614,Chicago,0.9172220197871581,0.5309334760564168,1.5632131488947014,"(0, 1, 1)","(0, 0, 0, 12)"
79936,El Paso,1.0080931336145698,0.8685182230549228,1.1690537291494207,"(0, 0, 2)","(0, 0, 1, 12)"
77084,Houston,1.0230884907830908,0.7970151748272479,1.3098722104472194,"(1, 0, 1)","(0, 0, 1, 12)"
10467,New York,1.0177002877116277,0.679157516002681,1.5149782187117928,"(0, 0, 2)","(0, 0, 0, 12)"
60640,Chicago,0.9934652272873379,0.6547429486799974,1.4967817399946626,"(1, 0, 3)","(0, 0, 0, 12)"
77449,Katy,1.0536394077342992,0.7984316129078602,1.385854473995089,"(1, 0, 1)","(0, 0, 0, 12)"
94109,San Francisco,1.1415210925875185,0.6253626168044814,2.0514932857731085,"(2, 1, 0)","(0, 0, 0, 12)"
11226,New York,1.0499304851099038,0.5521621203438454,1.9639604998314355,"(0, 0, 3)","(0, 0, 1, 12)"
32162,The Villages,1.1763412007493588,0.7360002645505865,1.8615347043263215,"(0, 1, 1)","(0, 0, 0, 12)"
11375,New York,1.0837026413424327,0.8412146572205461,1.3924426526361016,"(0, 0, 2)","(1, 0, 0, 12)"
11235,New York,1.1614188511356702,0.8399183772371056,1.5990568317033145,"(1, 1, 3)","(1, 0, 0, 12)"
37013,Nashville,1.1923626688011062,0.8314831283536995,1.6999457614824036,"(3, 1, 0)","(0, 0, 0, 12)"
90250,Hawthorne,1.0508896065301445,0.7209906747053499,1.522395712760252,"(1, 0, 1)","(0, 0, 1, 12)"
60647,Chicago,0.9789329627622723,0.6543460558626254,1.4548662122980311,"(1, 0, 1)","(0, 0, 1, 12)"
37211,Nashville,1.2063022738820686,0.9211845642329411,1.5748411057013378,"(1, 0, 3)","(0, 0, 0, 12)"
78660,Pflugerville,1.0943829981252264,0.9686355177769966,1.2356932018784785,"(0, 1, 3)","(0, 0, 0, 12)"
60618,Chicago,0.9556769341656762,0.695890532014608,1.3070042947591,"(2, 0, 1)","(0, 0, 1, 12)"
10128,New York,1.014945165231892,0.40522065168094157,2.4589366547827853,"(3, 0, 0)","(0, 0, 1, 12)"
77573,League City,1.0324929650389914,0.6831094314664293,1.549312464994879,"(1, 0, 2)","(0, 0, 1, 12)"
77584,Pearland,1.0498522685249234,0.8168131508679328,1.3458199680375622,"(1, 0, 1)","(0, 0, 0, 12)"
28269,Charlotte,1.14737533643181,0.8954262471147454,1.4662410411694637,"(2, 1, 0)","(0, 0, 0, 12)"
79912,El Paso,1.0188789323407996,0.7749474410330813,1.3351706307712168,"(2, 1, 0)","(2, 0, 0, 12)"
78572,Mission,1.2163639947671798,0.8290339603643319,1.773732557198288,"(2, 1, 0)","(0, 0, 1, 12)"
94565,Pittsburg,1.320532560617633,0.8942619471783816,1.9374424399666361,"(2, 1, 1)","(0, 0, 1, 12)"
30349,Riverdale,1.0364526772442388,0.5315179414346172,1.9842042126583945,"(1, 0, 1)","(0, 0, 0, 12)"
