zip,City,mean_ret,low_ret,high_ret,order,seasonal_order
60657,Chicago,0.9900855535134498,0.7912113015380577,1.2364303732635924,"(2, 0, 1)","(0, 0, 0, 12)"
75070,McKinney,1.0276611847803858,0.6935606826235549,1.512047001052784,"(0, 1, 1)","(0, 0, 0, 12)"
77494,Katy,1.1674033196804499,0.8648218219607755,1.5696687710131225,"(2, 1, 0)","(0, 0, 0, 12)"
60614,Chicago,0.9241477703589513,0.5598051407354779,1.5083010939673858,"(0, 1, 1)","(0, 0, 0, 12)"
79936,El Paso,1.0103632377318703,0.8658607427215409,1.1778504098415874,"(0, 0, 2)","(1, 0, 1, 12)"
77084,Houston,1.1260661008938746,0.9168607400666852,1.3806217491304207,"(1, 1, 2)","(0, 0, 1, 12)"
10467,New York,1.0165121792362326,0.6858742354456384,1.4971742231624758,"(0, 0, 2)","(0, 0, 0, 12)"
60640,Chicago,0.9983705640047446,0.7200988174277374,1.3782263458590018,"(0, 0, 2)","(0, 0, 0, 12)"
77449,Katy,1.0940323840852768,0.748787206662616,1.5881018667663136,"(0, 1, 1)","(0, 0, 0, 12)"
94109,San Francisco,1.1318908171283786,0.6374020751085142,1.9817008531192641,"(2, 1, 0)","(0, 0, 0, 12)"
11226,New York,1.0418200937856337,0.5332192575846146,1.9996451166263296,"(0, 0, 3)","(0, 0, 1, 12)"
32162,The Villages,1.1723803092512568,0.702587093701126,1.9332766011325073,"(0, 1, 1)","(0, 0, 0, 12)"
11375,New York,1.010781848740144,0.7334403235486501,1.3870255754090668,"(1, 0, 2)","(0, 0, 0, 12)"
11235,New York,1.0069581092976216,0.7251522546255802,1.3922004593160027,"(0, 0, 2)","(0, 0, 0, 12)"
37013,Nashville,1.2285342873990859,0.9515792009884231,1.5815923267835976,"(2, 1, 0)","(0, 0, 0, 12)"
90250,Hawthorne,1.005932128841421,0.7721812322807319,1.3067347512112104,"(0, 0, 2)","(0, 0, 0, 12)"
60647,Chicago,0.9925435052878032,0.7155188883714276,1.3708577960407486,"(0, 0, 3)","(0, 0, 0, 12)"
37211,Nashville,1.098916703380269,0.7620969404684999,1.5755579859368696,"(1, 0, 1)","(0, 0, 0, 12)"
78660,Pflugerville,1.002263537997058,0.8267304351886743,1.2132512173252028,"(0, 0, 2)","(0, 0, 0, 12)"
60618,Chicago,1.009668890527506,0.744707128549254,1.3636411702885198,"(3, 0, 2)","(0, 0, 0, 12)"
10128,New York,0.9993965238492724,0.3771204948038371,2.5512884198699104,"(0, 0, 2)","(0, 0, 0, 12)"
77573,League City,1.0651544886238076,0.7653600614284205,1.4756080794610404,"(2, 0, 1)","(2, 0, 0, 12)"
77584,Pearland,1.049870215084913,0.8065102237677259,1.362683825970259,"(1, 0, 1)","(0, 0, 0, 12)"
28269,Charlotte,1.1668050178007465,0.905793303022621,1.4987316248831806,"(0, 1, 0)","(0, 0, 0, 12)"
79912,El Paso,1.0213266560227074,0.8599081093376126,1.211578120715312,"(1, 0, 3)","(0, 0, 0, 12)"
78572,Mission,1.1296811557647968,0.7486399213733523,1.6927538651106797,"(1, 0, 2)","(0, 0, 1, 12)"
94565,Pittsburg,1.301047096909888,0.9102848076945028,1.8494882713892902,"(2, 1, 2)","(1, 0, 0, 12)"
30349,Riverdale,1.0371590451713446,0.5378097396466318,1.9648156330467577,"(1, 0, 1)","(0, 0, 0, 12)"
20002,Washington,1.1147113924055947,0.807004723812751,1.5329058982547996,"(0, 1, 3)","(2, 0, 0, 12)"
90046,Los Angeles,0.9928196840312914,0.7057211893104275,1.3901585497702087,"(0, 0, 2)","(0, 0, 0, 12)"
78130,New Braunfels,1.0083843865436375,0.8065166794735344,1.2582277093640344,"(0, 0, 2)","(0, 0, 0, 12)"
78613,Cedar Park,0.9669305929343673,0.725357814904533,1.28444442199131,"(1, 0, 1)","(0, 0, 0, 12)"
20009,Washington,1.0573746472919883,0.8675157325047658,1.2867524358674545,"(0, 0, 2)","(1, 0, 0, 12)"
75052,Grand Prairie,1.286608314915216,0.9714809990516536,1.6979677366455117,"(0, 1, 0)","(0, 0, 0, 12)"
10462,New York,1.0140093336803595,0.7679994506003992,1.3346490505466813,"(0, 0, 2)","(0, 0, 0, 12)"
37042,Clarksville,1.1514200476188365,0.8290567494512364,1.591516446603052,"(0, 1, 2)","(1, 0, 0, 12)"
77429,Cypress,1.0454285709209288,0.7263087345117075,1.4957612681038501,"(0, 1, 1)","(0, 0, 0, 12)"
63376,Saint Peters,1.0041505033422666,0.8469170998873577,1.1891729211866067,"(0, 0, 2)","(0, 0, 0, 12)"
60613,Chicago,0.9909117601733706,0.7699310032174906,1.2720312420516113,"(0, 0, 2)","(0, 0, 0, 12)"
77479,Sugar Land,0.9997161595436597,0.751240789431081,1.3255955182414472,"(0, 1, 2)","(0, 0, 1, 12)"
30044,Lawrenceville,1.1688621864784625,0.7764007013573792,1.7464608284624095,"(0, 1, 1)","(0, 0, 0, 12)"
73099,Yukon,1.0497701246504696,0.9421608223876567,1.16911607377651,"(0, 1, 3)","(0, 0, 0, 12)"
77036,Houston,1.023049331672417,0.6231957081148607,1.6626865479315298,"(1, 0, 2)","(0, 0, 1, 12)"
77433,Cypress,1.0482393968405594,0.8579540286437819,1.2785694440632351,"(0, 1, 3)","(2, 0, 0, 12)"
10463,New York,1.3335518594602862,0.7366493833416964,2.380202662061532,"(1, 1, 3)","(0, 0, 0, 12)"
11230,New York,1.0361756932999042,0.6861910933969093,1.5539488218580537,"(0, 0, 3)","(0, 0, 0, 12)"
60629,Chicago,1.0467844645253133,0.7651910445580021,1.42631700689973,"(0, 0, 2)","(1, 0, 0, 12)"
11209,New York,1.0080686544524107,0.7442075685829923,1.360384013329397,"(0, 0, 2)","(2, 0, 1, 12)"
60625,Chicago,0.9733012422516686,0.7312797977337542,1.291081526232246,"(1, 0, 2)","(0, 0, 0, 12)"
30043,Lawrenceville,1.0894800729343568,0.9010876017372271,1.3151438217263285,"(3, 0, 1)","(0, 0, 1, 12)"
75034,Frisco,1.0279206676030415,0.7978986377317793,1.3207088035756416,"(1, 0, 1)","(1, 0, 1, 12)"
11212,New York,1.232011522790765,0.7332247778419637,2.046422393994735,"(2, 1, 0)","(0, 0, 1, 12)"
75287,Dallas,1.0105176016148079,0.6896161532830855,1.471694240484428,"(1, 0, 1)","(0, 0, 1, 12)"
28277,Charlotte,1.0660585078614255,0.812721972105624,1.3940665363188358,"(2, 0, 1)","(0, 0, 1, 12)"
85032,Phoenix,1.0468263493027279,0.766471202597542,1.4237827793305782,"(2, 0, 3)","(1, 0, 0, 12)"
7030,Hoboken,1.01318323025893,0.6960585516117105,1.4664254493667004,"(0, 0, 2)","(0, 0, 1, 12)"
11214,New York,1.0124374717672555,0.7202406829701242,1.4165236318770167,"(0, 0, 2)","(0, 0, 0, 12)"
21234,Parkville,1.0069873905707913,0.7922864797143309,1.2769058597726832,"(0, 0, 2)","(0, 0, 1, 12)"
33160,Sunny Isles Beach,1.0402097155504848,0.6616529638907199,1.6216959733490195,"(2, 1, 3)","(2, 0, 1, 12)"
78521,Brownsville,0.9688511901572117,0.5905141735922229,1.573972440138636,"(0, 0, 2)","(0, 0, 1, 12)"
23464,Virginia Beach,0.9963108631596156,0.8568326737770312,1.157420031401839,"(1, 0, 1)","(1, 0, 0, 12)"
77077,Houston,1.1442524513072654,0.703077638675218,1.8423172356339081,"(0, 1, 1)","(0, 0, 0, 12)"
94501,Alameda,1.052111468869957,0.7206431187940077,1.5267498825651136,"(2, 0, 1)","(1, 0, 0, 12)"
30096,Duluth,1.2095481450976868,0.8050257689604112,1.8048525170874778,"(1, 0, 1)","(2, 0, 1, 12)"
78704,Austin,1.0410598605639483,0.790729187078575,1.3663269177860362,"(1, 0, 1)","(0, 0, 0, 12)"
98052,Redmond,1.000340455429145,0.6444841525139688,1.5391008574927203,"(0, 1, 1)","(0, 0, 0, 12)"
