zip,City,mean_ret,low_ret,high_ret,order,seasonal_order,sharpe_ratio
60657,Chicago,0.9919548985464376,0.8107425467431518,1.2116701731814026,"(0, 0, 2)","(0, 0, 0, 12)",-0.36522675340708266
75070,McKinney,1.0140368317316053,0.788124830422803,1.3012145298210165,"(1, 0, 1)","(0, 0, 0, 12)",-0.24235053308597995
77494,Katy,1.0465978016583628,0.8499508145868427,1.2864615372691226,"(1, 0, 3)","(0, 0, 0, 12)",-0.21027339644559623
60614,Chicago,0.9962363822774044,0.8591982928983082,1.1541029281410955,"(0, 0, 2)","(0, 0, 0, 12)",-0.48201348719817977
77084,Houston,1.0501085451410301,0.8108818640376516,1.3562147832128293,"(2, 0, 1)","(2, 0, 0, 12)",-0.16187515122720933
60640,Chicago,0.9979399769671182,0.7214270045565687,1.3745721407063243,"(0, 0, 3)","(0, 0, 0, 12)",-0.21502788455637784
77449,Katy,1.0493158565354395,0.7980844817312022,1.3752492433741883,"(1, 0, 1)","(0, 0, 0, 12)",-0.15432081666368738
94109,San Francisco,1.00451409784124,0.7338927959811163,1.3694803036411325,"(0, 0, 2)","(2, 0, 0, 12)",-0.2106244922171387
32162,The Villages,1.0127002752766574,0.8400035061577686,1.2191763499301134,"(1, 0, 2)","(0, 0, 0, 12)",-0.33146919851805334
11375,New York,1.0095208979179673,0.7412817245765835,1.369437257377521,"(1, 0, 2)","(0, 0, 0, 12)",-0.20514584247808748
11235,New York,1.0057907314408476,0.7187132158774746,1.4011771236579482,"(0, 0, 2)","(0, 0, 0, 12)",-0.19428670285592742
60647,Chicago,0.9542262051377959,0.6359333219423974,1.422098519765653,"(3, 0, 1)","(0, 0, 0, 12)",-0.23424871677580136
37211,Nashville,1.00901400546699,0.7081402407691169,1.4304757906811538,"(0, 0, 2)","(0, 0, 0, 12)",-0.17910012659691427
78660,Pflugerville,1.002467777944466,0.8184497605695178,1.225827933250183,"(0, 0, 2)","(0, 0, 0, 12)",-0.33363745303988995
60618,Chicago,1.009772029165752,0.7361360891077959,1.3793903989118632,"(1, 0, 2)","(0, 0, 0, 12)",-0.19994015240272614
10128,New York,1.001314465567736,0.43363987817134203,2.2489235357459822,"(0, 0, 2)","(0, 0, 0, 12)",-0.07550882076307988
77573,League City,1.0390649340724636,0.690022621108457,1.5536344319776545,"(1, 0, 2)","(1, 0, 0, 12)",-0.11500474933206636
77584,Pearland,1.045986466299931,0.7929877844760899,1.3752871466987564,"(1, 0, 1)","(0, 0, 0, 12)",-0.15867770702868186
28269,Charlotte,1.0069242170578638,0.8014813133430315,1.262370864816408,"(0, 0, 2)","(0, 0, 0, 12)",-0.28523141048342376
79912,El Paso,1.0271746845297995,0.8658689104727526,1.2170813998832646,"(3, 0, 0)","(0, 0, 0, 12)",-0.316645087304687
78572,Mission,1.0154497879995554,0.7362447681800244,1.3947068991683786,"(0, 0, 2)","(1, 0, 0, 12)",-0.18669958394965977
30349,Riverdale,1.0326931726468251,0.4968523814970583,2.0994249954828654,"(1, 0, 1)","(0, 0, 0, 12)",-0.06595097178903772
20002,Washington,1.006150783499191,0.7607948307399406,1.3264363615764223,"(0, 0, 2)","(0, 0, 0, 12)",-0.23377634631415228
90046,Los Angeles,0.9927465891322371,0.6918882118683323,1.4169554151566075,"(0, 0, 2)","(0, 0, 0, 12)",-0.2008611120582531
78613,Cedar Park,0.9837351742903003,0.799924153518198,1.2076361625014518,"(1, 0, 1)","(0, 0, 0, 12)",-0.37930994477461966
75052,Grand Prairie,1.1645358301340323,0.9745880961499145,1.3897195201993804,"(0, 0, 1)","(1, 0, 1, 12)",0.06299555927914673
10462,New York,1.0140070885546102,0.7591775641479767,1.3497970046490473,"(0, 0, 2)","(0, 0, 0, 12)",-0.21058789605969955
37042,Clarksville,1.0143337079229375,0.8489254724529912,1.2104160198854266,"(1, 0, 1)","(0, 0, 0, 12)",-0.3431643976857674
63376,Saint Peters,1.047488291379379,0.864450036415136,1.267294345654448,"(1, 0, 1)","(0, 0, 0, 12)",-0.2256358112491323
60613,Chicago,0.9814920959695274,0.723750691369087,1.3260175018382383,"(2, 0, 1)","(0, 0, 0, 12)",-0.26050297842237874
77479,Sugar Land,1.0058889988801734,0.7805588889523218,1.292774523570642,"(1, 0, 1)","(1, 0, 0, 12)",-0.2586711261171162
30044,Lawrenceville,1.085686355554585,0.8492680105071895,1.38435245247379,"(1, 0, 1)","(0, 0, 0, 12)",-0.09848546175893463
73099,Yukon,1.0100100498401656,0.8945792289926684,1.1396546955426596,"(1, 0, 2)","(0, 0, 0, 12)",-0.5238155653386698
10463,New York,1.0761305080210994,0.6380946698185531,1.7946894117766108,"(1, 0, 1)","(0, 0, 0, 12)",-0.05382515035058465
11230,New York,1.1869175229633357,0.7203669563558066,1.9354632632624822,"(2, 0, 0)","(0, 0, 0, 12)",0.03994179620642674
60629,Chicago,0.9917911663136133,0.7201914447420932,1.3601313049426116,"(1, 0, 1)","(1, 0, 0, 12)",-0.22907344377976518
60625,Chicago,0.9672117154127855,0.7026246123293273,1.3258465802381907,"(1, 0, 2)","(0, 0, 0, 12)",-0.2746576457554099
11212,New York,1.147930536022569,0.7536767845867774,1.7356125419810755,"(1, 0, 3)","(0, 0, 0, 12)",0.009721758321759607
75287,Dallas,1.0549714075417331,0.7360357129697341,1.5038007546551087,"(1, 0, 1)","(1, 0, 0, 12)",-0.10864389732677691
85032,Phoenix,1.0933331507411441,0.8127294934719229,1.465526987994121,"(0, 0, 2)","(1, 0, 1, 12)",-0.06901258589161371
11214,New York,1.0147669773236256,0.6664934106158493,1.5338910347150005,"(1, 0, 2)","(0, 0, 0, 12)",-0.14251528150823173
78521,Brownsville,0.9972597271505224,0.6057181029724039,1.6256062966085019,"(0, 0, 2)","(1, 0, 0, 12)",-0.138372684017479
23464,Virginia Beach,0.9962357474574067,0.8485065568811547,1.1684525730249273,"(1, 0, 1)","(0, 0, 0, 12)",-0.44428947157261733
94501,Alameda,1.0625306646601622,0.8096321550484126,1.390147685949698,"(1, 0, 0)","(1, 0, 0, 12)",-0.1306661496614188
30096,Duluth,1.0605256894236623,0.786826212244974,1.424104298992603,"(1, 0, 1)","(0, 0, 0, 12)",-0.12217382975677048
78704,Austin,1.1168643707270125,0.8056403205317235,1.5413339598311717,"(1, 0, 1)","(1, 0, 0, 12)",-0.029251337819322633
98052,Redmond,1.023482523145762,0.7661560592210659,1.3623090552068924,"(3, 0, 1)","(0, 0, 0, 12)",-0.1927388967758493
77379,Tomball,1.0265210784813363,0.847650209712198,1.241233295705191,"(1, 0, 1)","(0, 0, 0, 12)",-0.28421779136703734
11221,New York,1.0091593714652127,0.5776210626273407,1.7412676466363037,"(0, 0, 2)","(0, 0, 0, 12)",-0.11105177827384012
11229,New York,1.2217013555577807,0.8754300046719256,1.696896738609985,"(3, 0, 2)","(0, 0, 0, 12)",0.10142463256750145
8701,Lakewood,0.9838209005240758,0.683425562827768,1.4084975128539294,"(1, 0, 2)","(0, 0, 0, 12)",-0.2131698700688048
94110,San Francisco,0.9577992914517811,0.5558165705586402,1.629934015766935,"(1, 0, 2)","(2, 0, 0, 12)",-0.16812416859581591
78666,San Marcos,1.1759942700416577,0.8600595280736952,1.6014198462967266,"(3, 0, 2)","(0, 0, 0, 12)",0.05073089996254095
30024,Suwanee,1.0061597638210014,0.8355605890597237,1.209908020758894,"(0, 0, 2)","(0, 0, 0, 12)",-0.3532136696664808
33411,Royal Palm Beach,1.0028191332346996,0.8065730123292598,1.2444401202987285,"(0, 0, 3)","(0, 0, 0, 12)",-0.3096036633024295
